ID,Price,Housing Type,Size,Note,Provider Type,Address,Rent Price Info,Listing Date
1014572,777,Studio,21,Max. 1 Person,Studentenwohnungen,Alfred-Jung-Straße,(Nebenkosten inklusive),1. Juni
1495641,450,WG-Zimmer,11,1 Mitbewohner(in),Studentenwohnungen,Rhinstraße,(einige Nebenkosten inklusive),1. Juni
1019442,788,Studio,19,Max. 1 Person,Studentenwohnungen,Alfred-Jung-Straße,(Nebenkosten inklusive),16. Juni
1508249,1350,Studio,35,Max. 2 Personen,Privater Vermieter,Oldenburger Straße,(Nebenkosten inklusive),29. Mai
1521567,1350,Studio,48,Max. 1 Person,Privater Vermieter,Weserstraße,(Nebenkosten inklusive),3. Juni
551278,1350,Wohnung,27,1 Schlafzimmer,Vermietungsunternehmen,Köpenicker Straße,(Nebenkosten inklusive),1. Juli
1521622,870,Wohnung,12.21,1 Schlafzimmer,Studentenwohnungen,Leibnizstraße,(Nebenkosten inklusive),29. Mai
1522119,995,Studio,18,Max. 1 Person,Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),1. Aug.
1285015,659,WG-Zimmer,8,8  Mitbewohner(innen),Vermietungsunternehmen,Kaiser-Friedrich-Straße,(Nebenkosten inklusive),11. Juli
1514739,710,WG-Zimmer,10,6  Mitbewohner(innen),Vermietungsunternehmen,Turiner Straße,(Nebenkosten inklusive),29. Mai
1054925,710,WG-Zimmer,12,4  Mitbewohner(innen),Co-living,Nazarethkirchstraße,(Nebenkosten inklusive),29. Mai
1420792,780,WG-Zimmer,13,9  Mitbewohner(innen),Vermietungsunternehmen,Mohrenstraße,(Nebenkosten inklusive),1. Aug.
998541,710,WG-Zimmer,12,5  Mitbewohner(innen),Vermietungsunternehmen,Schulstraße,(Nebenkosten inklusive),1. Aug.
749039,660,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Bandelstraße,(Nebenkosten inklusive),16. Aug.
1519963,1500,Wohnung,36,1 Schlafzimmer,Vermietungsunternehmen,Luisenstraße,(Nebenkosten inklusive),29. Mai
1492254,665,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Wühlischstraße,(Nebenkosten inklusive),22. Juli
1112135,685,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Wühlischstraße,(Nebenkosten inklusive),23. Juli
1509833,670,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Buckower Damm,(Nebenkosten inklusive),29. Mai
1129492,1550,Studio,55,Max. 2 Personen,Vermietungsunternehmen,Gipsstraße,(Nebenkosten inklusive),1. Juli
749185,620,WG-Zimmer,13,2  Mitbewohner(innen),Vermietungsunternehmen,Neltestraße,(Nebenkosten inklusive),16. Juli
870216,570,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Plönzeile,(Nebenkosten inklusive),16. Aug.
1178825,640,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Zechliner Straße,(Nebenkosten inklusive),1. Juli
995622,690,WG-Zimmer,13,3  Mitbewohner(innen),Vermietungsunternehmen,Bismarckstraße,(Nebenkosten inklusive),1. Juli
1315726,689,WG-Zimmer,9,5  Mitbewohner(innen),Vermietungsunternehmen,Wisbyer Straße,(Nebenkosten inklusive),10. Juli
1235804,1220,Studio,31,Max. 2 Personen,Privater Vermieter,Reuterstraße,(Nebenkosten inklusive),5. Juni
902458,1195,Wohnung,26,1 Schlafzimmer,Vermietungsunternehmen,Osnabrücker Straße,(Nebenkosten inklusive),28. Juni
1363218,1350,Wohnung,33,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1236830,1350,Wohnung,33,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1069738,705,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1025968,1350,Wohnung,32,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),5. Juli
1236831,1350,Wohnung,35,1 Schlafzimmer,Vermietungsunternehmen,Bornholmer Straße,(Nebenkosten inklusive),18. Juli
1172286,590,WG-Zimmer,10,7  Mitbewohner(innen),Vermietungsunternehmen,Residenzstraße,(Nebenkosten inklusive),1. Juni
1146029,887,Studio,17,Max. 1 Person,Studentenwohnungen,Büchnerweg,(Nebenkosten inklusive),1. Sept.
