id,price,size,housing_type,address,housing_type_1,provider_type,rent_price_info,listing_day,listing_month,listing_year,listing_date
1014572,777,21,Studio,Alfred-Jung-Strasse,Studio,Studentenwohnungen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1495641,450,11,WG-Zimmer,Rhinstrasse,WG-Zimmer,Studentenwohnungen,(einige Nebenkosten inklusive),1,6,2024,2024-06-01
1019442,788,19,Studio,Alfred-Jung-Strasse,Studio,Studentenwohnungen,(Nebenkosten inklusive),16,6,2024,2024-06-16
1522119,995,18,Studio,Rathenaustrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1510167,1300,35,Studio,Oldenburger Strasse,Studio,Privater Vermieter,(Nebenkosten inklusive),1,7,2024,2024-07-01
1029155,1045,27,Wohnung,Osnabruecker Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1514746,700,8,WG-Zimmer,Turiner Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1514741,700,8,WG-Zimmer,Turiner Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1378547,700,12,WG-Zimmer,Reinickendorfer Strasse,WG-Zimmer,Studentenwohnungen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1049776,700,11,WG-Zimmer,Nazarethkirchstrasse,WG-Zimmer,Co-living,(Nebenkosten inklusive),31,5,2024,2024-05-31
1049028,700,12,WG-Zimmer,Nazarethkirchstrasse,WG-Zimmer,Co-living,(Nebenkosten inklusive),31,5,2024,2024-05-31
1211995,1099,31,Studio,Schlueterstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),5,6,2024,2024-06-05
1096390,675,9,WG-Zimmer,Greifswalder Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),22,7,2024,2024-07-22
1115653,1490,24,Studio,Brunnenstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),31,7,2024,2024-07-31
1114410,1300,24,Studio,Buchholzer Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1110669,1300,25,Studio,Buchholzer Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1259330,1300,16,Studio,Motzstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),16,7,2024,2024-07-16
1012437,680,13,WG-Zimmer,Bochumer Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1148758,1163,20,Studio,Koepenicker Strasse,Studio,Studentenwohnungen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1418572,820,13,WG-Zimmer,Friedrichstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1418559,820,13,WG-Zimmer,Friedrichstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1522083,680,13,WG-Zimmer,Rathenaustrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1378611,699,10,WG-Zimmer,Gabriel-Max-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),5,7,2024,2024-07-05
1295173,699,9,WG-Zimmer,Kantstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),5,7,2024,2024-07-05
1285013,699,10,WG-Zimmer,Kaiser-Friedrich-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),5,7,2024,2024-07-05
1106272,699,10,WG-Zimmer,Bornholmer Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),5,7,2024,2024-07-05
1514729,760,11,WG-Zimmer,Turiner Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1045440,1600,40,Wohnung,Krausnickstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1522116,692,8,WG-Zimmer,Ostendstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1522108,692,8,WG-Zimmer,Ostendstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1522118,692,8,WG-Zimmer,Ostendstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1058383,660,7,WG-Zimmer,Perleberger Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),16,8,2024,2024-08-16
1475802,720,21,WG-Zimmer,Kantstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),16,7,2024,2024-07-16
1522114,712,13,WG-Zimmer,Rathenaustrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1522101,1136,22,Studio,Lehrter Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1519601,1275,37,Studio,Herrnhuter Weg,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1375344,650,13,WG-Zimmer,Hausotterstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1444060,1409,40,Studio,Braunschweiger Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),3,6,2024,2024-06-03
1522115,715,13,WG-Zimmer,Rathenaustrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1236075,720,20,WG-Zimmer,Friedrichsbrunner Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1124689,1200,30,Studio,Savignyplatz,Studio,Privater Vermieter,(Nebenkosten inklusive),1,6,2024,2024-06-01
1471627,640,10,WG-Zimmer,Reinickendorfer Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),19,7,2024,2024-07-19
924439,690,13,WG-Zimmer,Sternstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
753767,650,9,WG-Zimmer,Alt-Moabit,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
609153,650,14,WG-Zimmer,Gneisenaustrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1114131,750,10,WG-Zimmer,Cunostrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1114128,750,10,WG-Zimmer,Cunostrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1466657,1700,40,Wohnung,Krausnickstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1130936,1700,56,Wohnung,Torstrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),26,7,2024,2024-07-26
1444048,1450,40,Studio,Braunschweiger Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),3,6,2024,2024-06-03
1100933,650,11,WG-Zimmer,Stephanstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1039998,615,9,WG-Zimmer,Hermannstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),23,7,2024,2024-07-23
1516566,1700,20,Studio,Elisabethkirchstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1114359,770,14,WG-Zimmer,Cunostrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
