ID,Price,Housing Type,Size,Note,Provider Type,Address,Rent Price Info,Listing Date
1014572,777,Studio,21,Max. 1 Person,Studentenwohnungen,Alfred-Jung-Stra�e,(Nebenkosten inklusive),1. Juni
1495641,450,WG-Zimmer,11,1 Mitbewohner(in),Studentenwohnungen,Rhinstra�e,(einige Nebenkosten inklusive),1. Juni
1014571,788,Studio,19,Max. 1 Person,Studentenwohnungen,Alfred-Jung-Stra�e,(Nebenkosten inklusive),1. Juni
1516432,1500,Studio,39,Max. 1 Person,Privater Vermieter,Sophienstra�e,(Nebenkosten inklusive),24. Mai
551278,1350,Wohnung,27,1 Schlafzimmer,Vermietungsunternehmen,K�penicker Stra�e,(Nebenkosten inklusive),1. Juli
1232200,1150,Studio,36,Max. 2 Personen,Vermietungsunternehmen,Hubertusallee,(Nebenkosten inklusive),24. Mai
1418560,720,WG-Zimmer,9,6  Mitbewohner(innen),Vermietungsunternehmen,Friedrichstra�e,(Nebenkosten inklusive),1. Juli
1355612,615,WG-Zimmer,7,3  Mitbewohner(innen),Vermietungsunternehmen,Boxhagener Stra�e,(Nebenkosten inklusive),1. Juli
1285015,659,WG-Zimmer,8,8  Mitbewohner(innen),Vermietungsunternehmen,Kaiser-Friedrich-Stra�e,(Nebenkosten inklusive),11. Juli
1514739,710,WG-Zimmer,10,6  Mitbewohner(innen),Vermietungsunternehmen,Turiner Stra�e,(Nebenkosten inklusive),24. Mai
1514685,710,WG-Zimmer,9,5  Mitbewohner(innen),Vermietungsunternehmen,Turiner Stra�e,(Nebenkosten inklusive),24. Mai
1054925,710,WG-Zimmer,12,4  Mitbewohner(innen),WG,Nazarethkirchstra�e,(Nebenkosten inklusive),24. Mai
749039,660,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Bandelstra�e,(Nebenkosten inklusive),16. Aug.
1519963,1500,Wohnung,36,1 Schlafzimmer,Vermietungsunternehmen,Brunnenstra�e,(Nebenkosten inklusive),24. Mai
1305276,650,WG-Zimmer,17,3  Mitbewohner(innen),Vermietungsunternehmen,Malchower Weg,(Nebenkosten inklusive),1. Aug.
1042077,720,WG-Zimmer,9,3  Mitbewohner(innen),WG,Nazarethkirchstra�e,(Nebenkosten inklusive),1. Juli
899723,1195,Wohnung,25,1 Schlafzimmer,Vermietungsunternehmen,Osnabr�cker Stra�e,(Nebenkosten inklusive),24. Mai
1418572,820,WG-Zimmer,13,5  Mitbewohner(innen),Vermietungsunternehmen,Friedrichstra�e,(Nebenkosten inklusive),1. Juli
1418559,820,WG-Zimmer,13,6  Mitbewohner(innen),Vermietungsunternehmen,Friedrichstra�e,(Nebenkosten inklusive),1. Aug.
1177548,993,Studio,17,Max. 1 Person,Studentenwohnungen,Stralsunder Stra�e,(Nebenkosten inklusive),16. Aug.
1137232,650,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Zechliner Stra�e,(Nebenkosten inklusive),1. Juli
1100796,650,WG-Zimmer,9,2  Mitbewohner(innen),Vermietungsunternehmen,Detmolder Stra�e,(Nebenkosten inklusive),1. Juli
924441,650,WG-Zimmer,11,7  Mitbewohner(innen),Vermietungsunternehmen,Sternstra�e,(Nebenkosten inklusive),1. Juli
1464665,699,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Kaiser-Friedrich-Stra�e,(Nebenkosten inklusive),5. Juli
1057269,760,WG-Zimmer,11,2  Mitbewohner(innen),WG,Nazarethkirchstra�e,(Nebenkosten inklusive),1. Juni
1007270,710,WG-Zimmer,11,4  Mitbewohner(innen),Vermietungsunternehmen,Greifswalder Stra�e,(Nebenkosten inklusive),16. Juli
1519962,1300,Studio,35,Max. 2 Personen,Vermietungsunternehmen,Luisenstra�e,(Nebenkosten inklusive),24. Mai
1355605,715,WG-Zimmer,9,3  Mitbewohner(innen),Vermietungsunternehmen,Boxhagener Stra�e,(Nebenkosten inklusive),1. Juli
1189497,715,WG-Zimmer,11,3  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Stra�e,(Nebenkosten inklusive),11. Juli
839789,740,WG-Zimmer,13,4  Mitbewohner(innen),Vermietungsunternehmen,M�rkisches Ufer,(Nebenkosten inklusive),16. Juli
1418549,840,WG-Zimmer,16,5  Mitbewohner(innen),Vermietungsunternehmen,Friedrichstra�e,(Nebenkosten inklusive),1. Aug.
1506942,600,WG-Zimmer,7,3  Mitbewohner(innen),Vermietungsunternehmen,Scharnweberstra�e,(Nebenkosten inklusive),24. Mai
1259324,1400,Studio,18,Max. 2 Personen,Vermietungsunternehmen,Motzstra�e,(Nebenkosten inklusive),1. Juli
